time,action,confidence,result,pl
12:33,CALL,85.0,LOSS,-4000
12:37,CALL,85.0,LOSS,-4000
12:45,CALL,85.0,WIN,3320
12:49,CALL,75.0,LOSS,-4000
12:57,PUT,85.0,LOSS,-4000
13:01,PUT,90.0,LOSS,-4000
13:09,CALL,85.0,WIN,3320
13:13,CALL,85.0,WIN,3320
13:17,PUT,75.0,WIN,3320
13:25,PUT,75.0,LOSS,-4000
13:29,PUT,80.0,WIN,3320
13:33,PUT,75.0,WIN,3320
13:37,CALL,90.0,LOSS,-4000
13:41,CALL,85.0,LOSS,-4000
13:49,PUT,85.0,LOSS,-4000
13:53,PUT,75.0,LOSS,-4000
13:57,PUT,70.0,LOSS,-4000
14:01,CALL,85.0,WIN,3320
14:05,CALL,85.0,WIN,3320
14:13,CALL,80.0,LOSS,-4000
14:17,PUT,85.0,PUSH,0
14:21,CALL,70.0,LOSS,-4000
14:25,PUT,85.0,WIN,3320
14:29,PUT,85.0,LOSS,-4000
14:33,CALL,85.0,LOSS,-4000
14:41,PUT,85.0,LOSS,-4000
14:45,CALL,85.0,WIN,3320
14:49,PUT,75.0,WIN,3320
14:53,CALL,90.0,WIN,3320
15:01,PUT,85.0,WIN,3320
15:05,PUT,90.0,LOSS,-4000
15:09,PUT,85.0,LOSS,-4000
15:13,PUT,85.0,WIN,3320
15:17,CALL,70.0,LOSS,-4000
15:21,PUT,90.0,LOSS,-4000
15:37,PUT,75.0,LOSS,-4000
15:41,CALL,75.0,LOSS,-4000
15:53,CALL,75.0,WIN,3320
15:57,PUT,85.0,LOSS,-4000
16:01,CALL,85.0,WIN,3320
16:05,PUT,85.0,WIN,3320
16:09,PUT,75.0,LOSS,-4000
16:13,PUT,75.0,LOSS,-4000
16:29,PUT,80.0,LOSS,-4000
16:33,CALL,75.0,LOSS,-4000
16:53,PUT,75.0,WIN,3320
17:13,PUT,80.0,WIN,3320
17:17,CALL,85.0,LOSS,-4000
17:29,PUT,85.0,LOSS,-4000
17:49,PUT,75.0,LOSS,-4000
17:53,CALL,75.0,WIN,3320
17:57,CALL,90.0,LOSS,-4000
18:01,CALL,85.0,WIN,3320
18:17,CALL,85.0,LOSS,-4000
18:21,PUT,90.0,LOSS,-4000
18:25,PUT,80.0,LOSS,-4000
18:29,CALL,80.0,LOSS,-4000
18:41,PUT,85.0,WIN,3320
18:53,PUT,90.0,LOSS,-4000
19:01,PUT,75.0,LOSS,-4000
19:05,PUT,85.0,WIN,3320
19:33,PUT,80.0,LOSS,-4000
19:45,PUT,85.0,LOSS,-4000
19:49,PUT,80.0,WIN,3320
19:53,CALL,75.0,WIN,3320
19:57,CALL,85.0,WIN,3320
20:13,CALL,80.0,WIN,3320
20:25,PUT,70.0,LOSS,-4000
20:33,CALL,85.0,LOSS,-4000
20:37,CALL,80.0,WIN,3320
20:41,PUT,75.0,WIN,3320
20:45,CALL,85.0,LOSS,-4000
20:49,PUT,75.0,WIN,3320
20:53,PUT,70.0,WIN,3320
20:57,PUT,80.0,WIN,3320
21:05,PUT,85.0,PUSH,0
21:09,CALL,80.0,LOSS,-4000
21:13,PUT,80.0,WIN,3320
21:29,PUT,85.0,LOSS,-4000
21:41,CALL,75.0,LOSS,-4000
21:49,CALL,70.0,LOSS,-4000
21:53,CALL,75.0,LOSS,-4000
21:57,PUT,75.0,LOSS,-4000
22:01,PUT,90.0,WIN,3320
22:05,PUT,85.0,PUSH,0
